,SP_m,SP_sd,SP_t,accuracy,drift_m,drift_sd,drift_t,ndt,participant,rt,threshold,trial,index,beta
0,-0.1,0.1,0.4744545011635203,1,2,1.2,1.971660149511038,0.3,1,0.525,1.2,1,trial 1,-0.05142992241753912
1,-0.1,0.1,0.4215822088065482,1,2,1.2,2.4121960517113767,0.3,1,0.521,1.2,2,trial 2,-0.044296862613579346
2,-0.1,0.1,0.4409538082427368,1,2,1.2,1.5522305302176895,0.3,1,0.6409999999999999,1.2,3,trial 3,-0.05031439112326898
3,-0.1,0.1,0.43478739603450606,1,2,1.2,2.604858327205009,0.3,1,0.5529999999999999,1.2,4,trial 4,-0.04251176626732009
4,-0.1,0.1,0.365565148746693,1,2,1.2,1.242913865479117,0.3,1,0.442,1.2,5,trial 5,-0.082115950541836
5,-0.1,0.1,0.4785408843407435,1,2,1.2,0.8950032900180227,0.3,1,0.542,1.2,6,trial 6,-0.05731121973890429
6,-0.1,0.1,0.4662411978300568,1,2,1.2,0.9818257944994342,0.3,1,1.065,1.2,7,trial 7,-0.04940345052640392
7,-0.1,0.1,0.5324105384014926,1,2,1.2,2.115954728289944,0.3,1,0.436,1.2,8,trial 8,-0.04102312643428348
8,-0.1,0.1,0.4225693732600693,1,2,1.2,2.8896080053514828,0.3,1,0.7020000000000001,1.2,9,trial 9,-0.04403875817624921
9,-0.1,0.1,0.5135888939703717,1,2,1.2,3.4318624739456935,0.3,1,0.56,1.2,10,trial 10,-0.05703303950090971
10,-0.1,0.1,0.5026497702466804,1,2,1.2,2.6900808684645856,0.3,1,0.39,1.2,11,trial 11,-0.026687751842377462
11,-0.1,0.1,0.4305340523858823,1,2,1.2,1.5290791175664245,0.3,1,0.44299999999999995,1.2,12,trial 12,-0.03326984796662073
12,-0.1,0.1,0.4040767559542228,1,2,1.2,1.1652018529988712,0.3,1,0.5469999999999999,1.2,13,trial 13,-0.03451351619484675
13,-0.1,0.1,0.4536097239073032,1,2,1.2,2.8164291130930725,0.3,1,0.475,1.2,14,trial 14,-0.033717501138776376
14,-0.1,0.1,0.4147800285619053,1,2,1.2,0.8674704775510924,0.3,1,1.0959999999999999,1.2,15,trial 15,-0.03750851925274184
15,-0.1,0.1,0.5027348568099743,1,2,1.2,1.91471971102092,0.3,1,0.51,1.2,16,trial 16,-0.06743256779038007
16,-0.1,0.1,0.527396036999663,1,2,1.2,2.085796089045548,0.3,1,0.542,1.2,17,trial 17,-0.06988849232850332
17,-0.1,0.1,0.5213742926978489,1,2,1.2,3.90826342111242,0.3,1,0.496,1.2,18,trial 18,-0.03391377779825189
18,-0.1,0.1,0.4682362495874886,1,2,1.2,0.1694599731101487,0.3,1,0.622,1.2,19,trial 19,-0.062191188153088724
19,-0.1,0.1,0.4931002172233453,0,2,1.2,0.7630736739704926,0.3,1,0.919,1.2,20,trial 20,0.10091805643362968
20,-0.1,0.1,0.3729575621612764,1,2,1.2,1.661099674375056,0.3,1,0.392,1.2,21,trial 21,-0.043867818587625985
21,-0.1,0.1,0.4552810233297433,1,2,1.2,3.197733173796581,0.3,1,0.387,1.2,22,trial 22,-0.04301232649437467
22,-0.1,0.1,0.4562187437957265,1,2,1.2,3.0722347664652188,0.3,1,0.607,1.2,23,trial 23,-0.07622171144345886
23,-0.1,0.1,0.4843742154271682,1,2,1.2,0.5019419416531603,0.3,1,0.738,1.2,24,trial 24,-0.037563332763913077
24,-0.1,0.1,0.4996481392860016,1,2,1.2,2.9573593422721967,0.3,1,0.436,1.2,25,trial 25,-0.0502701598532415
25,-0.1,0.1,0.5055062009779385,0,2,1.2,0.2753812399085922,0.3,1,2.3040000000000003,1.2,26,trial 26,-0.09100616304098655
26,-0.1,0.1,0.4673418483691886,1,2,1.2,1.2982718452974211,0.3,1,0.414,1.2,27,trial 27,0.11374894433273448
27,-0.1,0.1,0.465365065400855,1,2,1.2,1.5931422346184445,0.3,1,0.47600000000000003,1.2,28,trial 28,-0.048773444418986914
28,-0.1,0.1,0.4371110048205207,1,2,1.2,2.386794614878215,0.3,1,1.132,1.2,29,trial 29,-0.04638157342522124
29,-0.1,0.1,0.4483180835802033,0,2,1.2,0.13292480462922374,0.3,1,0.5509999999999999,1.2,30,trial 30,0.017699694636072627
30,-0.1,0.1,0.4484844841454201,1,2,1.2,2.128654896528525,0.3,1,0.603,1.2,31,trial 31,-0.04850359506412692
31,-0.1,0.1,0.4592483035921025,1,2,1.2,2.4138593401838984,0.3,1,0.893,1.2,32,trial 32,-0.04041945302711531
32,-0.1,0.1,0.40288985429970936,1,2,1.2,0.22248707691049496,0.3,1,0.7390000000000001,1.2,33,trial 33,-0.017559306208404252
33,-0.1,0.1,0.40931561451808746,1,2,1.2,3.047916747981952,0.3,1,0.75,1.2,34,trial 34,-0.037331226334762296
34,-0.1,0.1,0.4691399742979481,0,2,1.2,1.0889347577698154,0.3,1,0.369,1.2,35,trial 35,0.11106957133938161
35,-0.1,0.1,0.4194279728671546,1,2,1.2,3.8063446179879854,0.3,1,0.853,1.2,36,trial 36,-0.05988307779395323
36,-0.1,0.1,0.4567617539327067,1,2,1.2,3.6319260880609976,0.3,1,0.402,1.2,37,trial 37,-0.06730087871826765
37,-0.1,0.1,0.43367097725485054,1,2,1.2,2.728205042667974,0.3,1,0.488,1.2,38,trial 38,-0.030442023865460445
38,-0.1,0.1,0.4513557004296438,1,2,1.2,3.053279359839617,0.3,1,0.44,1.2,39,trial 39,-0.07737331916211135
39,-0.1,0.1,0.47552957081482,1,2,1.2,1.1326283289355628,0.3,1,0.381,1.2,40,trial 40,0.0023805457759592426
40,-0.1,0.1,0.4738532958487943,1,2,1.2,2.090502106963804,0.3,1,0.484,1.2,41,trial 41,-0.03728970696859302
41,-0.1,0.1,0.4814742772636366,1,2,1.2,2.2823758054622494,0.3,1,0.37799999999999995,1.2,42,trial 42,-0.08036999058319377
42,-0.1,0.1,0.5004405802718317,1,2,1.2,4.558670667937466,0.3,1,0.619,1.2,43,trial 43,-0.03145374398996164
43,-0.1,0.1,0.4790804391118612,0,2,1.2,1.0255333949182959,0.3,1,0.36700000000000005,1.2,44,trial 44,0.028274139404003543
44,-0.1,0.1,0.4711107706147791,1,2,1.2,5.174282455699373,0.3,1,0.496,1.2,45,trial 45,-0.02793657128076565
45,-0.1,0.1,0.4323018972972588,0,2,1.2,0.3776726823887426,0.3,1,0.42,1.2,46,trial 46,0.026309001808349282
46,-0.1,0.1,0.457836193151517,1,2,1.2,0.7749329283881607,0.3,1,0.597,1.2,47,trial 47,-0.0257730496465595
47,-0.1,0.1,0.44855208779806655,0,2,1.2,-1.1273210485645526,0.3,1,0.959,1.2,48,trial 48,-0.07068707758643208
48,-0.1,0.1,0.4514668094361178,1,2,1.2,1.6262787505653853,0.3,1,0.39399999999999996,1.2,49,trial 49,0.012005329726861181
49,-0.1,0.1,0.4524919105122915,1,2,1.2,2.2175894483336784,0.3,1,0.4,1.2,50,trial 50,-0.026229655128945983
50,-0.1,0.1,0.4479121559821784,1,2,1.2,5.293388152541316,0.3,1,0.381,1.2,51,trial 51,-0.03899177180006401
51,-0.1,0.1,0.4331124730906084,1,2,1.2,5.7233849893839315,0.3,1,0.452,1.2,52,trial 52,-0.04836148705543447
52,-0.1,0.1,0.4964888767446347,1,2,1.2,0.7463010171579183,0.3,1,0.6719999999999999,1.2,53,trial 53,-0.02164725508870596
53,-0.1,0.1,0.3838962000902571,1,2,1.2,3.7306320750939808,0.3,1,0.565,1.2,54,trial 54,-0.06889487180505545
54,-0.1,0.1,0.5565054350448845,1,2,1.2,2.8798619477316896,0.3,1,0.503,1.2,55,trial 55,-0.051700746382478
55,-0.1,0.1,0.4224103253644413,1,2,1.2,3.6334383572955717,0.3,1,0.42,1.2,56,trial 56,-0.07219600687060065
56,-0.1,0.1,0.4402469599655955,1,2,1.2,2.6845135797634256,0.3,1,0.485,1.2,57,trial 57,-0.04744335583916731
57,-0.1,0.1,0.3993696659840004,0,2,1.2,2.210669901681265,0.3,1,0.446,1.2,58,trial 58,0.11574219766773798
58,-0.1,0.1,0.4637171538405405,1,2,1.2,3.236005614500605,0.3,1,0.5489999999999999,1.2,59,trial 59,-0.06172272996672174
59,-0.1,0.1,0.4959619669412844,1,2,1.2,3.84777697769189,0.3,1,0.5,1.2,60,trial 60,-0.05771683062522798
60,-0.1,0.1,0.5006291554703173,0,2,1.2,0.7160528697631316,0.3,1,0.36200000000000004,1.2,61,trial 61,0.013927345176925888
61,-0.1,0.1,0.4156086721799951,1,2,1.2,0.23939386388107176,0.3,1,0.6829999999999999,1.2,62,trial 62,-0.008674820542244006
62,-0.1,0.1,0.5026034224818234,1,2,1.2,1.3396466414950128,0.3,1,0.546,1.2,63,trial 63,-0.050173551784645117
63,-0.1,0.1,0.3665292766522783,1,2,1.2,3.434234372436068,0.3,1,1.099,1.2,64,trial 64,-0.06911564340139437
64,-0.1,0.1,0.4901060207947511,1,2,1.2,2.7844302583034204,0.3,1,0.534,1.2,65,trial 65,-0.022419516206267066
65,-0.1,0.1,0.4825621719802821,1,2,1.2,2.4423271327296585,0.3,1,0.511,1.2,66,trial 66,-0.05138345510310309
66,-0.1,0.1,0.5222549977175647,1,2,1.2,2.877178214377316,0.3,1,0.366,1.2,67,trial 67,-0.046735225150897695
67,-0.1,0.1,0.4534677644262952,1,2,1.2,4.050458184683069,0.3,1,0.53,1.2,68,trial 68,-0.06413060380946001
68,-0.1,0.1,0.4824861844316669,1,2,1.2,1.0379523197275224,0.3,1,0.40700000000000003,1.2,69,trial 69,-0.047529649078381614
69,-0.1,0.1,0.4860212316895339,0,2,1.2,1.8189943244512123,0.3,1,0.42700000000000005,1.2,70,trial 70,0.051322577674247555
70,-0.1,0.1,0.3265234320908891,1,2,1.2,2.164275754169698,0.3,1,0.7559999999999999,1.2,71,trial 71,-0.01971228208662943
71,-0.1,0.1,0.4979099758823301,1,2,1.2,2.0667259896736394,0.3,1,0.6839999999999999,1.2,72,trial 72,-0.042714128648631264
72,-0.1,0.1,0.4933799960044907,1,2,1.2,1.2399695572932077,0.3,1,0.8069999999999999,1.2,73,trial 73,-0.052995792330827005
73,-0.1,0.1,0.463625064236153,1,2,1.2,2.3829950296030344,0.3,1,0.7,1.2,74,trial 74,-0.048158892691790134
74,-0.1,0.1,0.47929971831548207,0,2,1.2,-0.7569619658803539,0.3,1,0.397,1.2,75,trial 75,0.07165203062519374
75,-0.1,0.1,0.4968076201226044,0,2,1.2,0.9335991018025094,0.3,1,0.727,1.2,76,trial 76,-0.020042502152991186
76,-0.1,0.1,0.5068471418034621,1,2,1.2,2.0535178140525963,0.3,1,0.49700000000000005,1.2,77,trial 77,0.006044657670154575
77,-0.1,0.1,0.5063510338539011,1,2,1.2,2.348222535876405,0.3,1,0.426,1.2,78,trial 78,-0.046066687357934503
78,-0.1,0.1,0.4128779633823927,1,2,1.2,3.3262972843692116,0.3,1,0.462,1.2,79,trial 79,-0.04790893163927165
79,-0.1,0.1,0.5146727296624535,1,2,1.2,3.6073706883528858,0.3,1,0.39899999999999997,1.2,80,trial 80,-0.056023494417866845
80,-0.1,0.1,0.4623983363556232,1,2,1.2,1.0319823478328822,0.3,1,0.474,1.2,81,trial 81,-0.07621722416195148
81,-0.1,0.1,0.4417148473531704,1,2,1.2,2.0598314753381244,0.3,1,0.631,1.2,82,trial 82,-0.0010155406845505435
82,-0.1,0.1,0.5011908256918135,1,2,1.2,0.5769889496187599,0.3,1,0.64,1.2,83,trial 83,-0.05496074294405153
83,-0.1,0.1,0.5018449143599583,1,2,1.2,1.5992960071269406,0.3,1,1.055,1.2,84,trial 84,-0.056946184250475956
84,-0.1,0.1,0.4408937470123671,1,2,1.2,1.587648893534402,0.3,1,0.8390000000000001,1.2,85,trial 85,-0.059364228807005634
85,-0.1,0.1,0.4462962125991602,1,2,1.2,2.4095179715943367,0.3,1,0.494,1.2,86,trial 86,-0.05383292684252186
86,-0.1,0.1,0.5110183891474113,1,2,1.2,1.80463861234633,0.3,1,0.47700000000000004,1.2,87,trial 87,-0.06614540675903582
87,-0.1,0.1,0.4787142891869333,0,2,1.2,-0.9328633292860542,0.3,1,0.419,1.2,88,trial 88,-0.06464294374391447
88,-0.1,0.1,0.45942553162459604,1,2,1.2,3.9979413768898606,0.3,1,0.377,1.2,89,trial 89,0.03839291342118848
89,-0.1,0.1,0.4393472658414378,1,2,1.2,2.1130120512969808,0.3,1,0.621,1.2,90,trial 90,-0.0687213179113815
90,-0.1,0.1,0.5504675488088283,1,2,1.2,2.5333163118752284,0.3,1,0.5569999999999999,1.2,91,trial 91,-0.006591849982566023
91,-0.1,0.1,0.4765444400831492,1,2,1.2,2.92830535883375,0.3,1,0.47600000000000003,1.2,92,trial 92,-0.02228182187124582
92,-0.1,0.1,0.37892357346441663,1,2,1.2,-0.5161526066402828,0.3,1,0.414,1.2,93,trial 93,-0.06484051969213375
93,-0.1,0.1,0.4356716971807583,0,2,1.2,0.8605807020673124,0.3,1,0.396,1.2,94,trial 94,0.05354669545742229
94,-0.1,0.1,0.4478933611609919,1,2,1.2,3.8681673427552967,0.3,1,0.617,1.2,95,trial 95,-0.06515649049744998
95,-0.1,0.1,0.4703719610119717,1,2,1.2,1.4046550893770104,0.3,1,0.397,1.2,96,trial 96,-0.03910273047934954
96,-0.1,0.1,0.4173313449038272,1,2,1.2,2.283407614345073,0.3,1,0.579,1.2,97,trial 97,-0.06392360238161786
97,-0.1,0.1,0.5107774722392844,1,2,1.2,2.477970344627369,0.3,1,0.408,1.2,98,trial 98,-0.01964849265462408
98,-0.1,0.1,0.4532262534357506,1,2,1.2,3.06164497078601,0.3,1,0.406,1.2,99,trial 99,-0.0336482386023773
99,-0.1,0.1,0.4355668628382322,1,2,1.2,1.3083948628968824,0.3,1,0.6839999999999999,1.2,100,trial 100,-0.05338146675671038
100,-0.1,0.1,0.4687698822936373,1,2,1.2,3.6714883952446837,0.3,1,0.408,1.2,101,trial 101,-0.018374962056670253
101,-0.1,0.1,0.4117991520020629,1,2,1.2,1.4491643272826782,0.3,1,0.575,1.2,102,trial 102,-0.0846404630791733
102,-0.1,0.1,0.467954439107906,1,2,1.2,4.463154749083537,0.3,1,0.39799999999999996,1.2,103,trial 103,-0.04144300908157511
103,-0.1,0.1,0.39973890962362413,1,2,1.2,2.292974699806906,0.3,1,0.395,1.2,104,trial 104,-0.049494496301971634
104,-0.1,0.1,0.4306862755809621,1,2,1.2,0.9972690223733384,0.3,1,0.628,1.2,105,trial 105,-0.04156339439220938
105,-0.1,0.1,0.4319273129682824,1,2,1.2,3.1120573080255496,0.3,1,0.6699999999999999,1.2,106,trial 106,-0.06761354917471722
106,-0.1,0.1,0.5276730189841436,1,2,1.2,2.956193698526434,0.3,1,0.6579999999999999,1.2,107,trial 107,-0.05153428669296973
107,-0.1,0.1,0.4464292078622448,1,2,1.2,1.5225061135019478,0.3,1,0.601,1.2,108,trial 108,-0.03933030668967924
108,-0.1,0.1,0.3855350445145849,1,2,1.2,3.3347729217383564,0.3,1,0.449,1.2,109,trial 109,-0.06248762041496994
109,-0.1,0.1,0.3948011952720733,1,2,1.2,0.9772864235814476,0.3,1,0.423,1.2,110,trial 110,-0.023790585545044755
110,-0.1,0.1,0.4446685145460272,0,2,1.2,2.532029266208208,0.3,1,0.698,1.2,111,trial 111,0.05791337614376857
111,-0.1,0.1,0.4278252548173889,1,2,1.2,0.9424155856642338,0.3,1,0.649,1.2,112,trial 112,-0.019106226784064595
112,-0.1,0.1,0.4621514849255676,1,2,1.2,3.1040772247885466,0.3,1,0.528,1.2,113,trial 113,-0.03356770765144305
113,-0.1,0.1,0.4529113498586569,1,2,1.2,2.4184250218595715,0.3,1,0.9109999999999999,1.2,114,trial 114,-0.0723021786480749
114,-0.1,0.1,0.4108355194952744,1,2,1.2,0.8950133105690741,0.3,1,0.8049999999999999,1.2,115,trial 115,-0.06054506675248402
115,-0.1,0.1,0.3670794040610668,1,2,1.2,3.2403758134990825,0.3,1,0.474,1.2,116,trial 116,-0.07279602318211509
116,-0.1,0.1,0.4545897746081673,1,2,1.2,1.1302005353549194,0.3,1,1.2009999999999998,1.2,117,trial 117,-0.05260238787630625
117,-0.1,0.1,0.4834119940178898,1,2,1.2,2.7968321956202606,0.3,1,0.512,1.2,118,trial 118,-0.03005713396804824
118,-0.1,0.1,0.5114768476490114,1,2,1.2,2.3021279319883527,0.3,1,0.42100000000000004,1.2,119,trial 119,-0.06968236180154483
119,-0.1,0.1,0.4714415691433102,1,2,1.2,2.8238348482359723,0.3,1,0.39899999999999997,1.2,120,trial 120,-0.028954483846049442
120,-0.1,0.1,0.4629471246644824,1,2,1.2,2.484173075068292,0.3,1,0.38299999999999995,1.2,121,trial 121,-0.03340692952601037
121,-0.1,0.1,0.5253912531092655,1,2,1.2,2.7508148098578595,0.3,1,0.359,1.2,122,trial 122,-0.06532496439297532
122,-0.1,0.1,0.432118966309684,1,2,1.2,2.4312363284603347,0.3,1,0.396,1.2,123,trial 123,-0.05978969598233205
123,-0.1,0.1,0.4614917219834767,0,2,1.2,-0.4586377082973643,0.3,1,0.6539999999999999,1.2,124,trial 124,-0.00699920242994056
124,-0.1,0.1,0.5314550717892479,1,2,1.2,1.672794566176358,0.3,1,0.442,1.2,125,trial 125,-0.04780200200946412
125,-0.1,0.1,0.4629178283781062,1,2,1.2,2.437277087196712,0.3,1,0.381,1.2,126,trial 126,-0.02121699591810549
126,-0.1,0.1,0.4561929334266042,0,2,1.2,1.538874045860655,0.3,1,0.413,1.2,127,trial 127,-0.04296625493400029
127,-0.1,0.1,0.3926988729678992,1,2,1.2,2.69479552826504,0.3,1,0.518,1.2,128,trial 128,-0.017198498501992256
128,-0.1,0.1,0.4114359108603947,1,2,1.2,0.5947652982016961,0.3,1,0.992,1.2,129,trial 129,-0.06270047328591855
129,-0.1,0.1,0.4260584929723705,1,2,1.2,3.49640799357332,0.3,1,0.43,1.2,130,trial 130,-0.04691101182904897
130,-0.1,0.1,0.4652237495638744,1,2,1.2,3.946519612212748,0.3,1,0.647,1.2,131,trial 131,-0.0653894251166923
131,-0.1,0.1,0.5278698362954772,1,2,1.2,0.7823375558679435,0.3,1,0.376,1.2,132,trial 132,-0.0732317311006056
132,-0.1,0.1,0.38506335108857903,1,2,1.2,0.9886835048485844,0.3,1,0.54,1.2,133,trial 133,-0.05765602794288531
133,-0.1,0.1,0.3908924906710734,0,2,1.2,0.9662007520474071,0.3,1,0.926,1.2,134,trial 134,0.03781725289061037
134,-0.1,0.1,0.4103187943914004,1,2,1.2,2.8686415136018018,0.3,1,0.518,1.2,135,trial 135,-0.04428965326282762
135,-0.1,0.1,0.5191820753296965,1,2,1.2,2.377552702879973,0.3,1,0.40299999999999997,1.2,136,trial 136,-0.058989279694345316
136,-0.1,0.1,0.4350111764294052,0,2,1.2,1.3958631680343467,0.3,1,0.498,1.2,137,trial 137,-0.043375148568795666
137,-0.1,0.1,0.3765267108531181,0,2,1.2,0.4756539389608181,0.3,1,0.373,1.2,138,trial 138,-0.01922087720264131
138,-0.1,0.1,0.4724398778064441,1,2,1.2,2.993447507510134,0.3,1,0.5479999999999999,1.2,139,trial 139,0.03747505618591264
139,-0.1,0.1,0.4711265576748839,1,2,1.2,2.9886436354302615,0.3,1,0.522,1.2,140,trial 140,-0.04739476634547669
140,-0.1,0.1,0.40932943357064894,1,2,1.2,3.1258437739501166,0.3,1,0.47200000000000003,1.2,141,trial 141,-0.0618322730394401
141,-0.1,0.1,0.4385457811038201,1,2,1.2,0.9488090361250608,0.3,1,0.434,1.2,142,trial 142,-0.05479829974167498
142,-0.1,0.1,0.4541276578873595,0,2,1.2,1.222981227692385,0.3,1,0.5700000000000001,1.2,143,trial 143,0.07123702806084779
143,-0.1,0.1,0.4408210980034462,1,2,1.2,2.480212122571133,0.3,1,0.41200000000000003,1.2,144,trial 144,-0.018146710163338214
144,-0.1,0.1,0.499274000006898,1,2,1.2,2.0756446639570867,0.3,1,0.419,1.2,145,trial 145,-0.06944618131078381
145,-0.1,0.1,0.4917120539614153,0,2,1.2,0.5417289183687248,0.3,1,0.604,1.2,146,trial 146,0.023406119118012936
146,-0.1,0.1,0.517149169253718,1,2,1.2,3.6166509744370288,0.3,1,0.43200000000000005,1.2,147,trial 147,-0.05559955424039742
147,-0.1,0.1,0.4586458200307119,1,2,1.2,2.338876547059216,0.3,1,0.5840000000000001,1.2,148,trial 148,-0.021480669974771282
148,-0.1,0.1,0.5232350388092808,1,2,1.2,1.1328377784727324,0.3,1,0.653,1.2,149,trial 149,-0.07715188333423953
149,-0.1,0.1,0.4522606838621796,0,2,1.2,1.9654899561992452,0.3,1,0.35600000000000004,1.2,150,trial 150,0.04251702172120946
150,-0.1,0.1,0.4703389589523725,1,2,1.2,5.224510392589501,0.3,1,0.45,1.2,151,trial 151,-0.053562388453703175
151,-0.1,0.1,0.4993555740773568,1,2,1.2,2.9256108878886735,0.3,1,0.5840000000000001,1.2,152,trial 152,-0.017216169841204713
152,-0.1,0.1,0.4396146087849929,1,2,1.2,1.8321488794788752,0.3,1,0.40399999999999997,1.2,153,trial 153,-0.049636903800016785
153,-0.1,0.1,0.4632092985864614,1,2,1.2,4.557929661162293,0.3,1,0.47,1.2,154,trial 154,-0.06302871249372882
154,-0.1,0.1,0.4861297082094012,1,2,1.2,2.870642019777464,0.3,1,0.39399999999999996,1.2,155,trial 155,-0.04172919215907611
155,-0.1,0.1,0.4343092315633077,1,2,1.2,3.2167059786559697,0.3,1,0.46,1.2,156,trial 156,-0.050095065943566705
156,-0.1,0.1,0.4567030272742169,1,2,1.2,3.387235285662018,0.3,1,0.5880000000000001,1.2,157,trial 157,-0.08034560711010343
157,-0.1,0.1,0.4623481362039721,1,2,1.2,0.35405983017099585,0.3,1,0.659,1.2,158,trial 158,-0.037038434496596266
158,-0.1,0.1,0.4711626965550466,1,2,1.2,1.3012522343965471,0.3,1,0.747,1.2,159,trial 159,-0.03204042959375142
159,-0.1,0.1,0.42437579901548106,1,2,1.2,1.96395182405908,0.3,1,0.8560000000000001,1.2,160,trial 160,-0.0337792701465666
160,-0.1,0.1,0.4650790372873856,1,2,1.2,0.2172918364398917,0.3,1,0.595,1.2,161,trial 161,-0.08252636843173426
161,-0.1,0.1,0.4402304447518144,1,2,1.2,-1.012974678056152,0.3,1,0.48200000000000004,1.2,162,trial 162,-0.020117146300256263
162,-0.1,0.1,0.5370534314943155,1,2,1.2,0.3522256458391222,0.3,1,0.863,1.2,163,trial 163,-0.07393237389739274
163,-0.1,0.1,0.4541667603012512,1,2,1.2,2.1672763026122426,0.3,1,0.8400000000000001,1.2,164,trial 164,-0.015777906494077804
164,-0.1,0.1,0.4020034220226592,1,2,1.2,1.9728589249688333,0.3,1,0.39399999999999996,1.2,165,trial 165,-0.03309664186474982
165,-0.1,0.1,0.4001126429227212,1,2,1.2,1.1577833601111511,0.3,1,0.602,1.2,166,trial 166,-0.03787772814807326
166,-0.1,0.1,0.4646640835761935,1,2,1.2,0.9678888185640532,0.3,1,1.054,1.2,167,trial 167,-0.07736321017423232
167,-0.1,0.1,0.5028093855486075,1,2,1.2,4.638619690576288,0.3,1,0.517,1.2,168,trial 168,-0.01877400635474572
168,-0.1,0.1,0.5344051377856659,1,2,1.2,2.0499300966874,0.3,1,0.7140000000000001,1.2,169,trial 169,-0.07413865871357071
169,-0.1,0.1,0.459570203450234,1,2,1.2,2.8886925249013142,0.3,1,0.596,1.2,170,trial 170,-0.022434025570730116
170,-0.1,0.1,0.41931701488927,1,2,1.2,2.718900177323809,0.3,1,0.6729999999999999,1.2,171,trial 171,-0.054502448916363216
171,-0.1,0.1,0.4623665567242863,1,2,1.2,0.5512395254737184,0.3,1,0.924,1.2,172,trial 172,-0.061091558416366966
172,-0.1,0.1,0.43692506603828796,1,2,1.2,1.3770865242256352,0.3,1,0.379,1.2,173,trial 173,-0.040514814444663365
173,-0.1,0.1,0.4644528815216226,1,2,1.2,2.5035688658402337,0.3,1,0.928,1.2,174,trial 174,-0.03144862395669662
174,-0.1,0.1,0.4341157461187933,1,2,1.2,3.100039267116008,0.3,1,0.621,1.2,175,trial 175,-0.04606781039944595
175,-0.1,0.1,0.4828635296924177,1,2,1.2,3.672168582341024,0.3,1,0.386,1.2,176,trial 176,-0.06865542184522891
176,-0.1,0.1,0.43445244826094587,1,2,1.2,2.5147262326353066,0.3,1,0.6859999999999999,1.2,177,trial 177,-0.026179087694788446
177,-0.1,0.1,0.5008982171967805,1,2,1.2,5.31346385581638,0.3,1,0.337,1.2,178,trial 178,-0.04056253327917285
178,-0.1,0.1,0.4533931623972002,1,2,1.2,3.458263909618116,0.3,1,0.723,1.2,179,trial 179,-0.06112381233808561
179,-0.1,0.1,0.5154426295604515,1,2,1.2,2.1965291300595613,0.3,1,0.34700000000000003,1.2,180,trial 180,-0.03518489073839187
180,-0.1,0.1,0.5199522884700374,1,2,1.2,4.500694756804576,0.3,1,0.544,1.2,181,trial 181,-0.0675895655664327
181,-0.1,0.1,0.4604322744584274,1,2,1.2,2.627171842149368,0.3,1,0.499,1.2,182,trial 182,-0.06863169268854945
182,-0.1,0.1,0.5511094796322961,1,2,1.2,2.5032291234281505,0.3,1,0.341,1.2,183,trial 183,-0.017333119605323178
183,-0.1,0.1,0.4984432227535234,1,2,1.2,2.089705131339584,0.3,1,0.511,1.2,184,trial 184,-0.0812368158603132
184,-0.1,0.1,0.40932935937448783,1,2,1.2,0.91054281877959,0.3,1,0.42700000000000005,1.2,185,trial 185,-0.017488382301669117
185,-0.1,0.1,0.4572147091181256,0,2,1.2,0.4644543603362095,0.3,1,0.768,1.2,186,trial 186,0.03312405414119257
186,-0.1,0.1,0.399631486236471,0,2,1.2,2.6774630671123867,0.3,1,0.464,1.2,187,trial 187,0.09082218702624542
187,-0.1,0.1,0.4225446880505902,1,2,1.2,3.5154324873961165,0.3,1,0.7440000000000001,1.2,188,trial 188,-0.02120387650135252
188,-0.1,0.1,0.4892841817890236,1,2,1.2,1.1300012996178197,0.3,1,0.513,1.2,189,trial 189,-0.06825047598129175
189,-0.1,0.1,0.4214048422305571,1,2,1.2,2.9545118704925915,0.3,1,0.405,1.2,190,trial 190,-0.04297264676563463
190,-0.1,0.1,0.4952476176522537,0,2,1.2,-0.1522061439923288,0.3,1,0.451,1.2,191,trial 191,0.04982371070085394
191,-0.1,0.1,0.4058727681231389,1,2,1.2,2.2681269242037727,0.3,1,0.433,1.2,192,trial 192,-0.022735154559181816
192,-0.1,0.1,0.5307699272296909,1,2,1.2,0.1964649001223311,0.3,1,0.43799999999999994,1.2,193,trial 193,-0.04708641326213903
193,-0.1,0.1,0.39548817988657065,1,2,1.2,2.334308582134411,0.3,1,0.536,1.2,194,trial 194,-0.06322805243547813
194,-0.1,0.1,0.4264154227835157,1,2,1.2,2.5336856831887298,0.3,1,0.511,1.2,195,trial 195,-0.03577029479433332
195,-0.1,0.1,0.5069506688283364,1,2,1.2,3.388239997029189,0.3,1,0.408,1.2,196,trial 196,-0.06515117313538285
196,-0.1,0.1,0.4563147527399145,1,2,1.2,1.864773892157256,0.3,1,0.6559999999999999,1.2,197,trial 197,-0.06647680196499178
197,-0.1,0.1,0.43556956246491263,1,2,1.2,4.774573437095457,0.3,1,0.42100000000000004,1.2,198,trial 198,-0.0360697666304197
198,-0.1,0.1,0.4792314480428086,1,2,1.2,1.0922380118390038,0.3,1,0.861,1.2,199,trial 199,-0.03881920720153762
199,-0.1,0.1,0.485711468402042,1,2,1.2,2.030959163437254,0.3,1,0.413,1.2,200,trial 200,-0.05743058696800314
200,-0.1,0.1,0.5554646081348662,1,2,1.2,2.0744912581596417,0.3,1,0.348,1.2,201,trial 201,-0.04819499863015765
